areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-03-16,5112,4278759
overview,United Kingdom,K02000001,2021-03-15,6489,4273647
overview,United Kingdom,K02000001,2021-03-14,4325,4267158
overview,United Kingdom,K02000001,2021-03-13,4248,4262833
overview,United Kingdom,K02000001,2021-03-12,5683,4258585
overview,United Kingdom,K02000001,2021-03-11,5894,4252902
overview,United Kingdom,K02000001,2021-03-10,6163,4247008
overview,United Kingdom,K02000001,2021-03-09,6343,4240845
overview,United Kingdom,K02000001,2021-03-08,6843,4234502
overview,United Kingdom,K02000001,2021-03-07,4334,4227659
overview,United Kingdom,K02000001,2021-03-06,4520,4223325
overview,United Kingdom,K02000001,2021-03-05,5406,4218805
overview,United Kingdom,K02000001,2021-03-04,5792,4213399
overview,United Kingdom,K02000001,2021-03-03,6018,4207607
overview,United Kingdom,K02000001,2021-03-02,6675,4201589
overview,United Kingdom,K02000001,2021-03-01,6940,4194914
overview,United Kingdom,K02000001,2021-02-28,4749,4187974
overview,United Kingdom,K02000001,2021-02-27,4838,4183225
overview,United Kingdom,K02000001,2021-02-26,6605,4178387
overview,United Kingdom,K02000001,2021-02-25,7763,4171782
overview,United Kingdom,K02000001,2021-02-24,8570,4164019
overview,United Kingdom,K02000001,2021-02-23,9442,4155449
overview,United Kingdom,K02000001,2021-02-22,11332,4146007
overview,United Kingdom,K02000001,2021-02-21,7909,4134675
overview,United Kingdom,K02000001,2021-02-20,8077,4126766
overview,United Kingdom,K02000001,2021-02-19,10428,4118689
overview,United Kingdom,K02000001,2021-02-18,11430,4108261
overview,United Kingdom,K02000001,2021-02-17,11594,4096831
overview,United Kingdom,K02000001,2021-02-16,12509,4085237
overview,United Kingdom,K02000001,2021-02-15,14317,4072728
overview,United Kingdom,K02000001,2021-02-14,8784,4058411
overview,United Kingdom,K02000001,2021-02-13,8782,4049627
overview,United Kingdom,K02000001,2021-02-12,12192,4040845
overview,United Kingdom,K02000001,2021-02-11,12779,4028653
overview,United Kingdom,K02000001,2021-02-10,13537,4015874
overview,United Kingdom,K02000001,2021-02-09,13854,4002337
overview,United Kingdom,K02000001,2021-02-08,15791,3988483
overview,United Kingdom,K02000001,2021-02-07,11419,3972692
overview,United Kingdom,K02000001,2021-02-06,11978,3961273
overview,United Kingdom,K02000001,2021-02-05,15908,3949295
overview,United Kingdom,K02000001,2021-02-04,18031,3933387
overview,United Kingdom,K02000001,2021-02-03,19466,3915356
overview,United Kingdom,K02000001,2021-02-02,19826,3895890
overview,United Kingdom,K02000001,2021-02-01,22422,3876064
overview,United Kingdom,K02000001,2021-01-31,15443,3853642
overview,United Kingdom,K02000001,2021-01-30,16690,3838199
overview,United Kingdom,K02000001,2021-01-29,21824,3821509
overview,United Kingdom,K02000001,2021-01-28,24209,3799685
overview,United Kingdom,K02000001,2021-01-27,25752,3775476
overview,United Kingdom,K02000001,2021-01-26,27041,3749724
overview,United Kingdom,K02000001,2021-01-25,29988,3722683
overview,United Kingdom,K02000001,2021-01-24,17197,3692695
overview,United Kingdom,K02000001,2021-01-23,21861,3675498
overview,United Kingdom,K02000001,2021-01-22,29605,3653637
overview,United Kingdom,K02000001,2021-01-21,31717,3624032
overview,United Kingdom,K02000001,2021-01-20,35160,3592315
overview,United Kingdom,K02000001,2021-01-19,39545,3557155
overview,United Kingdom,K02000001,2021-01-18,44847,3517610
overview,United Kingdom,K02000001,2021-01-17,28878,3472763
overview,United Kingdom,K02000001,2021-01-16,30554,3443885
overview,United Kingdom,K02000001,2021-01-15,40444,3413331
overview,United Kingdom,K02000001,2021-01-14,42428,3372887
overview,United Kingdom,K02000001,2021-01-13,45446,3330459
overview,United Kingdom,K02000001,2021-01-12,49444,3285013
overview,United Kingdom,K02000001,2021-01-11,57208,3235569
overview,United Kingdom,K02000001,2021-01-10,36363,3178361
overview,United Kingdom,K02000001,2021-01-09,39104,3141998
overview,United Kingdom,K02000001,2021-01-08,47071,3102894
overview,United Kingdom,K02000001,2021-01-07,51985,3055823
overview,United Kingdom,K02000001,2021-01-06,57447,3003838
overview,United Kingdom,K02000001,2021-01-05,65168,2946391
overview,United Kingdom,K02000001,2021-01-04,76200,2881223
overview,United Kingdom,K02000001,2021-01-03,55207,2805023
overview,United Kingdom,K02000001,2021-01-02,60450,2749816
overview,United Kingdom,K02000001,2021-01-01,31851,2689366
overview,United Kingdom,K02000001,2020-12-31,52829,2657515
overview,United Kingdom,K02000001,2020-12-30,70827,2604686
overview,United Kingdom,K02000001,2020-12-29,81564,2533859
overview,United Kingdom,K02000001,2020-12-28,45621,2452295
overview,United Kingdom,K02000001,2020-12-27,47765,2406674
